ISO3,Country,Region,SubRegion,DevelopmentRegion,Total,Female,Male,RuralResidence,UrbanResidence,PoorestWealthQuintile,SecondWealthQuintile,MiddleWealthQuintile,FourthWealthQuintile,RichestWealthQuintile,DataSource,TimePeriod,Level
AGO,Angola,SSA,ESA,Least Developed,22.0,22.0,21.0,35.0,14.0,39.0,33.0,19.0,12.0,5.0,DHS 2015-16,2016.0,Primary
BEN,Benin,SSA,WCA,Least Developed,32.0,35.0,28.0,38.0,21.0,59.0,39.0,30.0,15.0,7.0,DHS 2017-18,2018.0,Primary
BFA,Burkina Faso,SSA,WCA,Least Developed,48.0,50.0,46.0,55.0,17.0,69.0,58.0,50.0,40.0,15.0,DHS 2010,2010.0,Primary
BDI,Burundi,SSA,ESA,Least Developed,18.0,18.0,18.0,19.0,6.0,36.0,21.0,14.0,11.0,6.0,DHS 2016-17,2017.0,Primary
CMR,Cameroon,SSA,WCA,Less Developed,15.0,17.0,14.0,24.0,6.0,37.0,18.0,10.0,4.0,2.0,DHS 2018,2018.0,Primary
CAF,Central African Republic,SSA,WCA,Least Developed,26.0,31.0,21.0,33.0,13.0,42.0,36.0,26.0,17.0,8.0,MICS 2010,2010.0,Primary
TCD,Chad,SSA,WCA,Least Developed,50.0,53.0,47.0,55.0,28.0,55.0,53.0,57.0,55.0,24.0,DHS 2014-15,2015.0,Primary
COM,Comoros,SSA,ESA,Least Developed,14.0,15.0,14.0,17.0,9.0,28.0,18.0,10.0,4.0,4.0,DHS 2012,2012.0,Primary
COG,Congo,SSA,WCA,Less Developed,3.0,3.0,3.0,6.0,2.0,8.0,4.0,2.0,1.0,1.0,MICS 2014-15,2015.0,Primary
CIV,Côte d'Ivoire,SSA,WCA,Less Developed,23.0,26.0,21.0,29.0,15.0,38.0,29.0,23.0,13.0,6.0,MICS 2016,2016.0,Primary
COD,Democratic Republic of the Congo,SSA,WCA,Least Developed,22.0,22.0,21.0,28.0,13.0,35.0,29.0,21.0,15.0,6.0,MICS 2017-18,2018.0,Primary
SWZ,Eswatini,SSA,ESA,Less Developed,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,0.0,MICS 2014,2014.0,Primary
ETH,Ethiopia,SSA,ESA,Least Developed,25.0,25.0,26.0,27.0,9.0,41.0,30.0,22.0,19.0,9.0,DHS 2016,2016.0,Primary
GAB,Gabon,SSA,WCA,Less Developed,4.0,3.0,4.0,5.0,4.0,8.0,4.0,1.0,2.0,3.0,DHS 2012,2012.0,Primary
GMB,Gambia,SSA,WCA,Least Developed,27.0,27.0,28.0,35.0,18.0,32.0,34.0,32.0,23.0,10.0,DHS 2013,2013.0,Primary
GHA,Ghana,SSA,WCA,Less Developed,7.0,6.0,7.0,8.0,4.0,16.0,6.0,4.0,3.0,1.0,MICS 2017-18,2018.0,Primary
GIN,Guinea,SSA,WCA,Least Developed,34.0,37.0,31.0,44.0,14.0,55.0,43.0,38.0,22.0,11.0,DHS 2018,2018.0,Primary
GNB,Guinea-Bissau,SSA,WCA,Least Developed,28.0,26.0,29.0,36.0,11.0,38.0,39.0,34.0,19.0,6.0,MICS 2018-19,2019.0,Primary
KEN,Kenya,SSA,ESA,Less Developed,5.0,5.0,5.0,5.0,3.0,14.0,2.0,1.0,2.0,2.0,DHS 2014,2014.0,Primary
LSO,Lesotho,SSA,ESA,Least Developed,3.0,2.0,4.0,3.0,3.0,5.0,2.0,2.0,3.0,1.0,MICS 2018,2018.0,Primary
LBR,Liberia,SSA,WCA,Least Developed,17.0,17.0,18.0,23.0,14.0,32.0,23.0,16.0,10.0,7.0,DHS 2013,2013.0,Primary
MDG,Madagascar,SSA,ESA,Least Developed,22.0,19.0,24.0,24.0,11.0,44.0,30.0,14.0,7.0,3.0,MICS 2018,2018.0,Primary
MWI,Malawi,SSA,ESA,Least Developed,6.0,5.0,6.0,6.0,2.0,10.0,7.0,5.0,3.0,2.0,DHS 2015-16,2016.0,Primary
MLI,Mali,SSA,WCA,Least Developed,47.0,50.0,45.0,55.0,18.0,74.0,59.0,50.0,34.0,16.0,MICS 2015,2015.0,Primary
MRT,Mauritania,SSA,WCA,Least Developed,42.0,40.0,44.0,51.0,29.0,58.0,53.0,39.0,31.0,17.0,MICS 2015,2015.0,Primary
MOZ,Mozambique,SSA,ESA,Least Developed,23.0,23.0,23.0,27.0,12.0,36.0,32.0,25.0,16.0,5.0,DHS 2011,2011.0,Primary
NAM,Namibia,SSA,ESA,Less Developed,4.0,4.0,5.0,6.0,2.0,8.0,5.0,4.0,2.0,1.0,DHS 2013,2013.0,Primary
NER,Niger,SSA,WCA,Least Developed,49.0,54.0,45.0,55.0,17.0,65.0,60.0,55.0,43.0,18.0,DHS 2012,2012.0,Primary
NGA,Nigeria,SSA,WCA,Less Developed,28.0,29.0,27.0,39.0,11.0,64.0,36.0,17.0,6.0,3.0,DHS 2018,2018.0,Primary
RWA,Rwanda,SSA,ESA,Least Developed,6.0,4.0,7.0,6.0,4.0,12.0,6.0,4.0,3.0,3.0,DHS 2014-15,2015.0,Primary
STP,Sao Tome and Principe,SSA,WCA,Least Developed,3.0,3.0,4.0,4.0,3.0,5.0,5.0,3.0,3.0,1.0,MICS 2014,2014.0,Primary
SEN,Senegal,SSA,WCA,Least Developed,39.0,38.0,40.0,51.0,20.0,56.0,47.0,37.0,31.0,14.0,DHS 2019,2019.0,Primary
SLE,Sierra Leone,SSA,WCA,Least Developed,17.0,15.0,20.0,24.0,8.0,34.0,22.0,14.0,9.0,6.0,MICS 2017,2017.0,Primary
ZAF,South Africa,SSA,ESA,Less Developed,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,DHS 2016,2016.0,Primary
SSD,South Sudan,SSA,ESA,Least Developed,72.0,75.0,70.0,78.0,56.0,86.0,84.0,77.0,65.0,44.0,MICS 2010,2010.0,Primary
SDN,Sudan,SSA,ESA,Least Developed,21.0,21.0,20.0,27.0,6.0,41.0,33.0,15.0,5.0,1.0,MICS 2014,2014.0,Primary
TGO,Togo,SSA,WCA,Least Developed,8.0,9.0,8.0,11.0,3.0,17.0,10.0,4.0,2.0,3.0,MICS 2017,2017.0,Primary
UGA,Uganda,SSA,ESA,Least Developed,8.0,8.0,9.0,9.0,6.0,20.0,8.0,5.0,4.0,3.0,DHS 2016,2016.0,Primary
TZA,United Republic of Tanzania,SSA,ESA,Least Developed,16.0,14.0,18.0,19.0,7.0,32.0,21.0,12.0,7.0,4.0,DHS 2015-16,2016.0,Primary
ZMB,Zambia,SSA,ESA,Least Developed,16.0,13.0,18.0,19.0,9.0,28.0,20.0,15.0,10.0,3.0,DHS 2018,2018.0,Primary
ZWE,Zimbabwe,SSA,ESA,Less Developed,5.0,4.0,5.0,5.0,4.0,8.0,4.0,4.0,4.0,2.0,MICS 2019,2019.0,Primary
AGO,Angola,SSA,ESA,Least Developed,15.0,17.0,14.0,28.0,10.0,31.0,26.0,16.0,6.0,4.0,DHS 2015-16,2016.0,Lower-Secondary
BEN,Benin,SSA,WCA,Least Developed,41.0,47.0,36.0,48.0,31.0,65.0,52.0,42.0,31.0,18.0,DHS 2017-18,2018.0,Lower-Secondary
BFA,Burkina Faso,SSA,WCA,Least Developed,57.0,59.0,56.0,65.0,31.0,77.0,67.0,62.0,49.0,32.0,DHS 2010,2010.0,Lower-Secondary
BDI,Burundi,SSA,ESA,Least Developed,29.0,28.0,31.0,31.0,20.0,49.0,35.0,26.0,20.0,22.0,DHS 2016-17,2017.0,Lower-Secondary
CMR,Cameroon,SSA,WCA,Less Developed,19.0,22.0,16.0,28.0,10.0,40.0,27.0,16.0,10.0,5.0,DHS 2018,2018.0,Lower-Secondary
CAF,Central African Republic,SSA,WCA,Least Developed,32.0,43.0,20.0,41.0,21.0,52.0,44.0,38.0,25.0,15.0,MICS 2010,2010.0,Lower-Secondary
TCD,Chad,SSA,WCA,Least Developed,42.0,49.0,36.0,49.0,21.0,50.0,48.0,49.0,49.0,17.0,DHS 2014-15,2015.0,Lower-Secondary
COM,Comoros,SSA,ESA,Least Developed,14.0,14.0,15.0,16.0,11.0,27.0,16.0,13.0,9.0,8.0,DHS 2012,2012.0,Lower-Secondary
COG,Congo,SSA,WCA,Less Developed,7.0,8.0,6.0,10.0,5.0,14.0,10.0,8.0,2.0,2.0,MICS 2014-15,2015.0,Lower-Secondary
CIV,Côte d'Ivoire,SSA,WCA,Less Developed,33.0,38.0,27.0,40.0,26.0,50.0,37.0,33.0,25.0,22.0,MICS 2016,2016.0,Lower-Secondary
COD,Democratic Republic of the Congo,SSA,WCA,Least Developed,17.0,18.0,16.0,21.0,12.0,28.0,17.0,17.0,16.0,8.0,MICS 2017-18,2018.0,Lower-Secondary
SWZ,Eswatini,SSA,ESA,Less Developed,4.0,4.0,5.0,4.0,5.0,6.0,3.0,3.0,7.0,4.0,MICS 2014,2014.0,Lower-Secondary
ETH,Ethiopia,SSA,ESA,Least Developed,31.0,31.0,30.0,33.0,22.0,48.0,40.0,28.0,24.0,20.0,DHS 2016,2016.0,Lower-Secondary
GAB,Gabon,SSA,WCA,Less Developed,3.0,3.0,4.0,5.0,3.0,7.0,4.0,4.0,2.0,1.0,DHS 2012,2012.0,Lower-Secondary
