ISO3,Country,Region,SubRegion,DevelopmentRegion,Total,Female,Male,RuralResidence,UrbanResidence,PoorestWealthQuintile,SecondWealthQuintile,MiddleWealthQuintile,FourthWealthQuintile,RichestWealthQuintile,DataSource,TimePeriod,Level
ALB,Albania,ECA,EECA,More Developed,2.0,2.0,3.0,4.0,1.0,4.0,3.0,2.0,2.0,1.0,DHS 2017-18,2018.0,Primary
AND,Andorra,ECA,WE,More Developed,,,,,,,,,,,,,Primary
ARM,Armenia,ECA,EECA,Less Developed,5.0,4.0,5.0,6.0,3.0,6.0,7.0,6.0,3.0,2.0,DHS 2015-16,2016.0,Primary
AUT,Austria,ECA,WE,More Developed,,,,,,,,,,,,,Primary
AZE,Azerbaijan,ECA,EECA,Less Developed,,,,,,,,,,,,,Primary
BLR,Belarus,ECA,EECA,More Developed,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,MICS 2012,2012.0,Primary
BEL,Belgium,ECA,WE,More Developed,,,,,,,,,,,,,Primary
BIH,Bosnia and Herzegovina,ECA,EECA,More Developed,3.0,4.0,2.0,3.0,3.0,7.0,1.0,3.0,1.0,3.0,MICS 2011-12,2012.0,Primary
BGR,Bulgaria,ECA,EECA,More Developed,,,,,,,,,,,,,Primary
HRV,Croatia,ECA,EECA,More Developed,,,,,,,,,,,,,Primary
CYP,Cyprus,ECA,WE,More Developed,,,,,,,,,,,,,Primary
CZE,Czechia,ECA,WE,More Developed,,,,,,,,,,,,,Primary
DNK,Denmark,ECA,WE,More Developed,,,,,,,,,,,,,Primary
EST,Estonia,ECA,WE,More Developed,,,,,,,,,,,,,Primary
FIN,Finland,ECA,WE,More Developed,,,,,,,,,,,,,Primary
FRA,France,ECA,WE,More Developed,,,,,,,,,,,,,Primary
GEO,Georgia,ECA,EECA,Less Developed,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,MICS 2018,2018.0,Primary
DEU,Germany,ECA,WE,More Developed,,,,,,,,,,,,,Primary
GRC,Greece,ECA,WE,More Developed,,,,,,,,,,,,,Primary
VAT,Holy See,ECA,WE,Not Classified,,,,,,,,,,,,,Primary
HUN,Hungary,ECA,WE,More Developed,,,,,,,,,,,,,Primary
ISL,Iceland,ECA,WE,More Developed,,,,,,,,,,,,,Primary
IRL,Ireland,ECA,WE,More Developed,,,,,,,,,,,,,Primary
ITA,Italy,ECA,WE,More Developed,,,,,,,,,,,,,Primary
KAZ,Kazakhstan,ECA,EECA,Less Developed,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,MICS 2015,2015.0,Primary
KGZ,Kyrgyzstan,ECA,EECA,Less Developed,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,MICS 2018,2018.0,Primary
LVA,Latvia,ECA,WE,More Developed,,,,,,,,,,,,,Primary
LIE,Liechtenstein,ECA,WE,More Developed,,,,,,,,,,,,,Primary
LTU,Lithuania,ECA,WE,More Developed,,,,,,,,,,,,,Primary
LUX,Luxembourg,ECA,WE,More Developed,,,,,,,,,,,,,Primary
MLT,Malta,ECA,WE,More Developed,,,,,,,,,,,,,Primary
MCO,Monaco,ECA,WE,More Developed,,,,,,,,,,,,,Primary
MNE,Montenegro,ECA,EECA,More Developed,3.0,3.0,4.0,3.0,4.0,8.0,2.0,2.0,3.0,1.0,MICS 2018,2018.0,Primary
NLD,Netherlands,ECA,WE,More Developed,,,,,,,,,,,,,Primary
MKD,North Macedonia,ECA,EECA,More Developed,2.0,1.0,2.0,1.0,2.0,3.0,3.0,1.0,1.0,0.0,MICS 2018-19,2019.0,Primary
NOR,Norway,ECA,WE,More Developed,,,,,,,,,,,,,Primary
POL,Poland,ECA,WE,More Developed,,,,,,,,,,,,,Primary
PRT,Portugal,ECA,WE,More Developed,,,,,,,,,,,,,Primary
MDA,Republic of Moldova,ECA,EECA,More Developed,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,MICS 2012,2012.0,Primary
ROU,Romania,ECA,EECA,More Developed,8.0,9.0,8.0,,,,,,,,Institute of Educational Sciences and UNICEF 2015-2016,2016.0,Primary
RUS,Russian Federation,ECA,EECA,More Developed,,,,,,,,,,,,,Primary
SMR,San Marino,ECA,WE,More Developed,,,,,,,,,,,,,Primary
SRB,Serbia,ECA,EECA,More Developed,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,MICS 2014,2014.0,Primary
SVK,Slovakia,ECA,WE,More Developed,,,,,,,,,,,,,Primary
SVN,Slovenia,ECA,WE,More Developed,,,,,,,,,,,,,Primary
ESP,Spain,ECA,WE,More Developed,,,,,,,,,,,,,Primary
SWE,Sweden,ECA,WE,More Developed,,,,,,,,,,,,,Primary
CHE,Switzerland,ECA,WE,More Developed,,,,,,,,,,,,,Primary
TJK,Tajikistan,ECA,EECA,Less Developed,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,DHS 2017,2017.0,Primary
TUR,Turkey,ECA,EECA,Less Developed,4.0,3.0,5.0,4.0,4.0,7.0,3.0,3.0,4.0,2.0,DHS style 2013,2013.0,Primary
TKM,Turkmenistan,ECA,EECA,Less Developed,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,MICS 2015-16,2016.0,Primary
UKR,Ukraine,ECA,EECA,More Developed,2.0,2.0,2.0,3.0,1.0,2.0,3.0,2.0,1.0,1.0,MICS 2012,2012.0,Primary
GBR,United Kingdom,ECA,WE,More Developed,,,,,,,,,,,,,Primary
UZB,Uzbekistan,ECA,EECA,Less Developed,,,,,,,,,,,,,Primary
ALB,Albania,ECA,EECA,More Developed,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,1.0,DHS 2017-18,2018.0,Lower-Secondary
AND,Andorra,ECA,WE,More Developed,,,,,,,,,,,,,Lower-Secondary
ARM,Armenia,ECA,EECA,Less Developed,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,DHS 2015-16,2016.0,Lower-Secondary
AUT,Austria,ECA,WE,More Developed,,,,,,,,,,,,,Lower-Secondary
AZE,Azerbaijan,ECA,EECA,Less Developed,,,,,,,,,,,,,Lower-Secondary
